年度,教育階段,人數
98,大學,7143
99,大學,6609
100,大學,5994
101,大學,6000
102,大學,5999
103,大學,5886
104,大學,6069
105,大學,6358
106,大學,6546
107,大學,7003
108,大學,7262
109,大學,7385
110,大學,6119
98,研究所,15332
99,研究所,14613
100,研究所,13269
101,研究所,12007
102,研究所,10860
103,研究所,10177
104,研究所,9607
105,研究所,9164
106,研究所,8948
107,研究所,9236
108,研究所,9348
109,研究所,9315
110,研究所,8052
98,非學位,2146
99,非學位,1894
100,非學位,1818
101,非學位,1866
102,非學位,1591
103,非學位,1663
104,非學位,1695
105,非學位,1588
106,非學位,1799
107,非學位,1719
108,非學位,1655
109,非學位,1517
110,非學位,471
98,實習生,3444
99,實習生,3569
100,實習生,3737
101,實習生,3377
102,實習生,3417
103,實習生,3540
104,實習生,3622
105,實習生,4017
106,實習生,4223
107,實習生,4496
108,實習生,5104
109,實習生,5507
110,實習生,5031
